App.,Athlete,Representing,Birth/Death,Games,Period (age of first/last),Sport,Gold,Silver,Bronze,Total
6,Stevan Pletikosić,"Independent Olympic Participants (1), Serbia and Montenegro (3) and Serbia (2)",1972,"1992–2008, 2016",24 years (20/44),Shooting,0.0,0.0,1.0,1
6,Daniel Nestor,Canada,1972,1996–2016,20 years (23/43),Tennis,1.0,0.0,0.0,1
6,Sergey Tetyukhin,Russia,1975,1996–2016,20 years (20/40),Volleyball,1.0,1.0,2.0,4
6,Vladimir Samsonov,/ Belarus,1976,1996–2016,20 years (20/40),Table tennis,0.0,0.0,0.0,0
6,Áron Gádorfalvi,Hungary,1976,1996–2016,20 years (19/39),Sailing,0.0,0.0,0.0,0
6,Therese Alshammar,Sweden,1977,1996–2016,20 years (18/38),Swimming,0.0,2.0,1.0,3
6,Maksym Oberemko,Ukraine (5) and Russia (1),1978,1996–2016,20 years (18/38),Sailing,0.0,0.0,0.0,0
6,Kim Rhode,United States,1979,1996–2016,20 years (17/37),Shooting,3.0,1.0,2.0,6
6,Rolf-Göran Bengtsson,Sweden,1962,"1996, 2004-2016, 2024",28 years (34/62),Equestrian,0.0,2.0,0.0,2
6,Ramzy Al-Duhami,Saudi Arabia,1972,"1996-2012, 2024",28 years (24/52),Equestrian,0.0,0.0,1.0,1
6,Steffen Peters,United States,1964,1996–2024,28 years (31/59),Equestrian,0.0,1.0,2.0,3
6,Jasey-Jay Anderson,Canada,1975,1998–2018,20 years (23/43),Snowboarding,1.0,0.0,0.0,1
6,Hannu Manninen,Finland,1978,"1994–2010, 2018",24 years (15/39),Cross-country skiing (1) and nordic combined (6),1.0,1.0,1.0,3
6,Éva Tófalvi,Romania,1978,1998–2018,20 years (20/40),Biathlon,0.0,0.0,0.0,0
6,Alla Tsuper,Ukraine (1) and / Belarus (5),1979,1998–2018,20 years (18/38),Freestyle skiing,1.0,0.0,0.0,1
6,Shiva Keshavan,India (5) and Independent Olympic Participants (1),1981,1998–2018,20 years (16/36),Luge,0.0,0.0,0.0,0
6,Choi Heung-chul,/ South Korea,1981,1998–2018,20 years (16/36),Ski jumping,0.0,0.0,0.0,0
6,Choi Seou,/ South Korea,1982,1998–2018,20 years (15/35),Ski jumping,0.0,0.0,0.0,0
6,Kim Hyun-ki,/ South Korea,1983,1998–2018,20 years (14/34),Ski jumping,0.0,0.0,0.0,0
6,Mary Hanna,Australia,1954,"1996–2004, 2012–2020",25 years (42/67),Equestrian,0.0,0.0,0.0,0
6,Jian Fang Lay,Australia,1973,2000–2020,21 years (27/48),Table tennis,0.0,0.0,0.0,0
6,Evangelia Psarra,Greece,1974,2000–2020,21 years (26/47),Archery,0.0,0.0,0.0,0
6,David Kostelecký,Czech Republic,1975,"1996–2000, 2008–2020",25 years (21/46),Shooting,1.0,1.0,0.0,2
6,Aleksey Alipov,Russia (5) and ROC (1),1975,2000–2020,21 years (25/46),Shooting,1.0,0.0,1.0,2
6,Marco de Nicolo,Italy,1976,2000–2020,21 years (23/44),Shooting,0.0,0.0,0.0,0
6,Tatiana Drozdovskaya,/ Belarus,1978,2000–2020,21 years (21/42),Sailing,0.0,0.0,0.0,0
6,Ken Terauchi,/ Japan,1980,"1996–2008, 2016–2020",25 years (15/40),Diving,0.0,0.0,0.0,0
6,Fernanda Oliveira,Brazil,1980,2000–2020,21 years (19/40),Sailing,0.0,0.0,1.0,1
6,Viktoria Chaika,/ Belarus,1980,2000–2020,21 years (19/40),Shooting,0.0,0.0,0.0,0
6,Ronald Rauhe,Germany,1981,2000–2020,21 years (19/40),Canoeing,2.0,1.0,2.0,5
6,Erik Vlček,Slovakia,1981,2000–2020,21 years (18/39),Canoeing,0.0,2.0,2.0,4
6,Liu Jia,Austria,1982,2000–2020,21 years (18/39),Table tennis,0.0,0.0,0.0,0
6,Oussama Mellouli,Tunisia,1984,2000–2020,21 years (16/37),Marathon swimming (2) and swimming (5),2.0,0.0,1.0,3
6,Ni Xialian,Luxembourg,1963,"2000, 2008–2024",24 years (37/61),Table tennis,0.0,0.0,0.0,0
