Index,Team,Num of summer games,Summer gold medals,Summer silver medals,Bronze medals,Total summer medals,Num of winter games,Winter gold medals,Winter silver medals,Winter bronze medals,Total winter medals,Total number of Games,Total gold medals,Total silver medals,Total bronze medals,Total of all medals,CleanCountry,Avg_num_of_medals_per_game,Percent of gold medals,Percent of silver medals,Percent of bronze medals,Continent,Year,Rank,NOC,Gold years,Silver years,Bronze years,Total years,Yug_group,Participation_Status,Status
129.0,,25.0,53.0,76.0,58.0,187.0,21.0,1.0,1.0,3.0,5.0,46.0,54.0,77.0,61.0,192.0,,4.173913043478261,28.125,40.10416666666667,31.77083333333333,Europe,1900,13,,1.0,0.0,0.0,1.0,UNKNOWN,Participated,active
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,UNKNOWN,1960,41,Spain (ESP),0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,UNKNOWN,1932,26,,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
130.0,Sri Lanka (SRI)[SRI],19.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,2.0,Sri Lanka,0.1052631578947368,0.0,100.0,0.0,Asia,2000,64,Sri Lanka,0.0,1.0,0.0,1.0,UNKNOWN,Participated,active
131.0,Sudan (SUD),14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,1.0,Sudan,0.0714285714285714,0.0,100.0,0.0,Africa,2008,72,Sudan,0.0,1.0,0.0,1.0,UNKNOWN,Participated,active
132.0,Suriname (SUR)[E],14.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,2.0,Suriname,0.1428571428571428,50.0,0.0,50.0,South America,1992,54,Suriname,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
132.0,,14.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,2.0,,0.1428571428571428,50.0,0.0,50.0,South America,1988,29,,1.0,0.0,0.0,1.0,UNKNOWN,Participated,active
133.0,Sweden (SWE)[Z],29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,Sweden,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,2024,16,Sweden,4.0,4.0,3.0,11.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,2020,23,,3.0,6.0,0.0,9.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,2016,28,,2.0,6.0,3.0,11.0,UNKNOWN,Participated,active
