Index,Team,Num of summer games,Summer gold medals,Summer silver medals,Summer bronze medals,Total summer medals,Num of winter games,Winter gold medals,Winter silver medals,Winter bronze medals,Total winter medals,Total number of Games,Total gold medals,Total silver medals,Total bronze medals,Total of all medals,Avg_num_of_medals_per_game,Percent of gold medals,Percent of silver medals,Percent of bronze medals,Continent,Category,Winter medal score,Summer medal score,Combined medal score,Winter medals per Game,Winter score per Game,Winter gold Share,Summer medals per Game,Summer score per Game,Summer gold Share,Group
136,Chinese Taipei,16,9,11,23,43,13,0,0,0,0,29,9,11,23,43,1.4827586206896552,20.930232558139537,25.581395348837212,53.48837209302325,Asia,active,0,72,72,0.0,0.0,0.0,2.6875,4.5,0.20930232558139536,Other
137,Tajikistan,8,1,1,5,7,4,0,0,0,0,12,1,1,5,7,0.5833333333333334,14.285714285714285,14.285714285714285,71.42857142857143,Asia,active,0,10,10,0.0,0.0,0.0,0.875,1.25,0.14285714285714285,Other
138,Tanzania,15,0,2,0,2,0,0,0,0,0,15,0,2,0,2,0.13333333333333333,0.0,100.0,0.0,Africa,active,0,4,4,0.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.0,Other
139,Thailand,18,11,11,19,41,5,0,0,0,0,23,11,11,19,41,1.7826086956521738,26.82926829268293,26.82926829268293,46.34146341463415,Asia,active,0,74,74,0.0,0.0,0.0,2.2777777777777777,4.111111111111111,0.2682926829268293,Other
140,Togo,12,0,0,1,1,2,0,0,0,0,14,0,0,1,1,0.07142857142857142,0.0,0.0,100.0,Africa,active,0,1,1,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,Other
141,Tonga,11,0,1,0,1,2,0,0,0,0,13,0,1,0,1,0.07692307692307693,0.0,100.0,0.0,Oceania,active,0,2,2,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,Other
142,Trinidad and Tobago,19,3,5,11,19,4,0,0,0,0,23,3,5,11,19,0.8260869565217391,15.789473684210526,26.31578947368421,57.89473684210527,North America,active,0,30,30,0.0,0.0,0.0,1.0,1.5789473684210527,0.15789473684210525,Other
143,Tunisia,16,6,4,8,18,0,0,0,0,0,16,6,4,8,18,1.125,33.33333333333333,22.22222222222222,44.44444444444444,Africa,active,0,34,34,0.0,0.0,0.0,1.125,2.125,0.3333333333333333,Other
144,Turkey,24,41,29,41,111,18,0,0,0,0,42,41,29,41,111,2.642857142857143,36.93693693693694,26.126126126126124,36.93693693693694,Europe,active,0,222,222,0.0,0.0,0.0,4.625,9.25,0.36936936936936937,Rest of Europe
145,Turkmenistan,8,0,1,0,1,0,0,0,0,0,8,0,1,0,1,0.125,0.0,100.0,0.0,Asia,active,0,2,2,0.0,0.0,0.0,0.125,0.25,0.0,Other
146,Uganda,17,5,5,3,13,0,0,0,0,0,17,5,5,3,13,0.7647058823529411,38.46153846153847,38.46153846153847,23.076923076923077,Africa,active,0,28,28,0.0,0.0,0.0,0.7647058823529411,1.6470588235294117,0.38461538461538464,Other
147,Ukraine,8,38,41,72,151,8,3,2,4,9,16,41,43,76,160,10.0,25.624999999999996,26.875,47.5,Europe,active,17,268,285,1.125,2.125,0.3333333333333333,18.875,33.5,0.25165562913907286,Rest of Europe
148,United Arab Emirates,11,1,0,1,2,0,0,0,0,0,11,1,0,1,2,0.18181818181818182,50.0,0.0,50.0,Asia,active,0,4,4,0.0,0.0,0.0,0.18181818181818182,0.36363636363636365,0.5,Other
149,United States,29,1105,879,781,2765,24,114,121,95,330,53,1219,1000,876,3095,58.39622641509434,39.38610662358643,32.31017770597738,28.303715670436187,North America,active,679,5854,6533,13.75,28.291666666666668,0.34545454545454546,95.34482758620689,201.86206896551724,0.3996383363471971,Other
150,Uruguay,23,2,2,6,10,1,0,0,0,0,24,2,2,6,10,0.4166666666666667,20.0,20.0,60.0,South America,active,0,16,16,0.0,0.0,0.0,0.43478260869565216,0.6956521739130435,0.2,Other
151,Uzbekistan,8,18,8,23,49,8,1,0,0,1,16,19,8,23,50,3.125,38.0,16.0,46.0,Asia,active,3,93,96,0.125,0.375,1.0,6.125,11.625,0.3673469387755102,Other
152,Venezuela,20,3,7,9,19,4,0,0,0,0,24,3,7,9,19,0.7916666666666666,15.789473684210526,36.84210526315789,47.368421052631575,South America,active,0,32,32,0.0,0.0,0.0,0.95,1.6,0.15789473684210525,Other
