Rank,NOC,Gold,Silver,Bronze,Total,Gold %,Points
139,Samoa,0,1,0,1,0.0,2
139,Senegal,0,1,0,1,0.0,2
139,Sudan,0,1,0,1,0.0,2
139,Tonga,0,1,0,1,0.0,2
139,Turkmenistan,0,1,0,1,0.0,2
139,Virgin Islands,0,1,0,1,0.0,2
149,Kuwait,0,0,3,3,0.0,3
150,Afghanistan,0,0,2,2,0.0,2
150,Albania,0,0,2,2,0.0,2
150,British West Indies*,0,0,2,2,0.0,2
153,Barbados,0,0,1,1,0.0,1
153,Burkina Faso,0,0,1,1,0.0,1
153,Cape Verde,0,0,1,1,0.0,1
153,Djibouti,0,0,1,1,0.0,1
153,Eritrea,0,0,1,1,0.0,1
153,Guyana,0,0,1,1,0.0,1
153,Iraq,0,0,1,1,0.0,1
153,Mauritius,0,0,1,1,0.0,1
153,Refugee Olympic Team*,0,0,1,1,0.0,1
153,Togo,0,0,1,1,0.0,1
Totals (162 entries),Totals (162 entries),6970,6932,7444,21346,32.65,42218
